condition,first_n,last_n,first_wpm_mean,last_wpm_mean,wpm_mean_diff_first_minus_last,wpm_cohens_d,wpm_pvalue,first_acc_mean,last_acc_mean,acc_mean_diff_first_minus_last,acc_cohens_d,acc_pvalue,first_err_mean,last_err_mean,err_mean_diff_first_minus_last,err_cohens_d,err_pvalue
sitting,7,9,34.57142857142857,37.888888888888886,-3.3174603174603163,-0.2729173596791344,0.5989898074845434,83.81714285714285,86.30555555555556,-2.488412698412702,-0.30851278045175656,0.5505201489591044,38.57142857142857,44.55555555555556,-5.984126984126988,-0.2390111064253997,0.627858314568173
stairs,8,8,25.5,33.375,-7.875,-0.8443319480326705,0.11343636000976602,132.1725,109.53,22.642500000000013,0.2193453541591577,0.6692122309302004,52.25,45.75,6.5,0.1574927254485491,0.7574259781225776
walking,9,7,37.55555555555556,23.857142857142858,13.6984126984127,1.0003754955380189,0.05987899694785365,79.02000000000001,144.4457142857143,-65.42571428571429,-0.7212946897472214,0.2571971850196903,61.333333333333336,47.0,14.333333333333336,0.39062095857031087,0.4621750782446912
